,ID,DATUM_VON,DATUM_BIS,DAUER,JAHR,MONAT
7401,408,1977-06-27,1977-07-03,6,1977,7
7402,408,1977-09-12,1977-09-18,6,1977,9
7934,425,1977-01-31,1977-02-06,6,1977,2
7930,425,1977-02-14,1977-02-20,6,1977,2
7931,425,1977-05-30,1977-06-05,6,1977,6
7932,425,1977-04-25,1977-05-01,6,1977,5
7933,425,1977-02-07,1977-02-13,6,1977,2
7935,425,1977-01-24,1977-01-30,6,1977,1
7937,425,1977-05-16,1977-05-22,6,1977,5
7938,425,1977-05-09,1977-05-15,6,1977,5
7939,425,1977-05-02,1977-05-08,6,1977,5
7940,425,1977-01-10,1977-01-16,6,1977,1
7936,425,1977-01-17,1977-01-23,6,1977,1
7942,425,1977-04-11,1977-04-17,6,1977,4
7941,425,1977-04-18,1977-04-24,6,1977,4
7956,425,1977-02-28,1977-03-06,6,1977,3
7955,425,1977-03-07,1977-03-13,6,1977,3
7954,425,1977-03-14,1977-03-20,6,1977,3
7953,425,1977-01-03,1977-01-09,6,1977,1
7957,425,1977-02-21,1977-02-27,6,1977,2
7952,425,1977-03-21,1977-03-27,6,1977,3
7951,425,1977-03-28,1977-04-03,6,1977,4
7943,425,1977-04-04,1977-04-10,6,1977,4
14805,428,1977-02-07,1977-02-13,6,1977,2
14813,428,1977-02-21,1977-02-27,6,1977,2
14812,428,1977-02-28,1977-03-06,6,1977,3
14811,428,1977-03-07,1977-03-13,6,1977,3
14810,428,1977-01-03,1977-01-09,6,1977,1
14809,428,1977-01-10,1977-01-16,6,1977,1
14808,428,1977-01-17,1977-01-23,6,1977,1
14807,428,1977-01-24,1977-01-30,6,1977,1
14806,428,1977-01-31,1977-02-06,6,1977,2
14804,428,1977-02-14,1977-02-20,6,1977,2
7320,434,1977-05-30,1977-06-05,6,1977,6
7327,434,1977-04-18,1977-04-24,6,1977,4
7321,434,1977-02-14,1977-02-20,6,1977,2
7322,434,1977-04-25,1977-05-01,6,1977,5
7332,434,1977-03-14,1977-03-20,6,1977,3
7324,434,1977-05-16,1977-05-22,6,1977,5
7335,434,1977-02-21,1977-02-27,6,1977,2
7334,434,1977-02-28,1977-03-06,6,1977,3
7323,434,1977-02-07,1977-02-13,6,1977,2
7331,434,1977-03-21,1977-03-27,6,1977,3
7330,434,1977-03-28,1977-04-03,6,1977,4
7333,434,1977-03-07,1977-03-13,6,1977,3
7328,434,1977-04-11,1977-04-17,6,1977,4
7326,434,1977-05-02,1977-05-08,6,1977,5
7325,434,1977-05-09,1977-05-15,6,1977,5
7329,434,1977-04-04,1977-04-10,6,1977,4
6225,437,1977-05-16,1977-05-22,6,1977,5
6220,437,1977-06-13,1977-06-19,6,1977,6
6219,437,1977-06-20,1977-06-26,6,1977,6
6221,437,1977-06-06,1977-06-12,6,1977,6
6222,437,1977-05-30,1977-06-05,6,1977,6
6223,437,1977-04-25,1977-05-01,6,1977,5
6224,437,1977-05-23,1977-05-29,6,1977,5
6226,437,1977-05-09,1977-05-15,6,1977,5
6230,437,1977-04-04,1977-04-10,6,1977,4
6228,437,1977-04-18,1977-04-24,6,1977,4
6229,437,1977-04-11,1977-04-17,6,1977,4
6231,437,1977-03-28,1977-04-03,6,1977,4
6232,437,1977-03-21,1977-03-27,6,1977,3
6233,437,1977-03-14,1977-03-20,6,1977,3
6234,437,1977-03-07,1977-03-13,6,1977,3
6218,437,1977-06-27,1977-07-03,6,1977,7
6227,437,1977-05-02,1977-05-08,6,1977,5
6217,437,1977-07-04,1977-07-10,6,1977,7
3356,470,1977-11-21,1977-11-27,6,1977,11
3355,470,1977-11-28,1977-12-04,6,1977,12
3372,470,1977-08-15,1977-08-21,6,1977,8
3359,470,1977-10-31,1977-11-06,6,1977,11
3360,470,1977-10-24,1977-10-30,6,1977,10
3361,470,1977-09-19,1977-09-25,6,1977,9
3362,470,1978-01-02,1978-01-08,6,1978,1
3363,470,1977-12-26,1978-01-01,6,1978,1
3364,470,1977-10-17,1977-10-23,6,1977,10
3373,470,1977-12-19,1977-12-25,6,1977,12
3365,470,1977-10-10,1977-10-16,6,1977,10
3358,470,1977-11-07,1977-11-13,6,1977,11
3366,470,1977-10-03,1977-10-09,6,1977,10
3367,470,1977-09-26,1977-10-02,6,1977,10
3368,470,1977-09-12,1977-09-18,6,1977,9
3357,470,1977-11-14,1977-11-20,6,1977,11
3370,470,1977-08-29,1977-09-04,6,1977,9
3369,470,1977-09-05,1977-09-11,6,1977,9
3381,470,1978-01-23,1978-01-29,6,1978,1
3380,470,1978-02-06,1978-02-12,6,1978,2
3379,470,1978-01-30,1978-02-05,6,1978,2
3378,470,1977-07-18,1977-07-24,6,1977,7
3377,470,1977-08-01,1977-08-07,6,1977,8
3376,470,1977-08-08,1977-08-14,6,1977,8
3375,470,1977-12-05,1977-12-11,6,1977,12
3374,470,1977-12-12,1977-12-18,6,1977,12
3382,470,1978-01-16,1978-01-22,6,1978,1
3371,470,1977-08-22,1977-08-28,6,1977,8
3383,470,1978-01-09,1978-01-15,6,1978,1
6384,499,1978-03-13,1978-03-19,6,1978,3
6385,499,1978-02-06,1978-02-12,6,1978,2
6376,499,1978-06-05,1978-06-11,6,1978,6
6375,499,1978-06-12,1978-06-18,6,1978,6
6370,499,1978-06-19,1978-06-25,6,1978,6
6368,499,1978-07-03,1978-07-09,6,1978,7
6367,499,1978-07-17,1978-07-23,6,1978,7
6366,499,1978-03-20,1978-03-26,6,1978,3
6365,499,1978-03-27,1978-04-02,6,1978,4
6364,499,1978-04-03,1978-04-09,6,1978,4
6363,499,1978-04-10,1978-04-16,6,1978,4
6362,499,1978-04-17,1978-04-23,6,1978,4
6392,499,1978-01-16,1978-01-22,6,1978,1
6369,499,1978-06-26,1978-07-02,6,1978,7
6391,499,1978-01-23,1978-01-29,6,1978,1
6383,499,1978-08-07,1978-08-13,6,1978,8
6361,499,1978-09-11,1978-09-17,6,1978,9
6382,499,1978-04-24,1978-04-30,6,1978,4
6381,499,1978-05-01,1978-05-07,6,1978,5
6380,499,1978-05-08,1978-05-14,6,1978,5
6378,499,1978-05-22,1978-05-28,6,1978,5
6379,499,1978-05-15,1978-05-21,6,1978,5
6386,499,1978-03-06,1978-03-12,6,1978,3
6387,499,1978-02-27,1978-03-05,6,1978,3
6388,499,1978-02-20,1978-02-26,6,1978,2
6389,499,1978-02-13,1978-02-19,6,1978,2
6390,499,1978-01-30,1978-02-05,6,1978,2
6377,499,1978-05-29,1978-06-04,6,1978,6
18012,501,1978-05-22,1978-05-28,6,1978,5
18009,501,1978-06-12,1978-06-18,6,1978,6
18011,501,1978-05-29,1978-06-04,6,1978,6
18010,501,1978-06-05,1978-06-11,6,1978,6
18008,501,1978-06-19,1978-06-25,6,1978,6
18002,501,1978-07-24,1978-07-30,6,1978,7
18006,501,1978-11-13,1978-11-19,6,1978,11
18005,501,1978-07-03,1978-07-09,6,1978,7
18003,501,1978-07-17,1978-07-23,6,1978,7
18013,501,1978-05-15,1978-05-21,6,1978,5
18001,501,1978-07-31,1978-08-06,6,1978,8
18000,501,1978-11-20,1978-11-26,6,1978,11
18007,501,1978-06-26,1978-07-02,6,1978,7
18014,501,1978-05-08,1978-05-14,6,1978,5
18020,501,1978-09-04,1978-09-10,6,1978,9
18016,501,1978-04-24,1978-04-30,6,1978,4
