,WORD,FREQ
0,ALL,59080
1,DOCH,49080
2,NUR,45266
3,FUER,41810
4,JA,39032
5,NOCH,35628
6,WILL,35132
7,LIEB,34653
8,MEHR,28663
9,IMM,27063
10,KOMM,26796
11,KANN,26645
12,WIED,24336
13,HIER,22459
14,OH,22378
15,LEB,22340
16,MAL,21760
17,JETZT,21090
18,MACH,20314
19,SCHON,20036
20,GEH,20012
21,VIEL,19490
22,JED,19206
23,WEISS,19145
24,GANZ,19136
25,LA,18408
26,SAG,18393
27,HEUT,17892
28,LASS,17789
29,GEHT,17763
30,NIE,17487
31,NACHT,17167
32,WEG,16459
33,TAG,15335
34,SEH,14965
35,WELT,13100
36,AND,13037
37,GUT,12526
38,OHN,12485
39,NA,12478
40,BABY,12414
41,ALLEIN,12328
42,HERZ,12222
43,GIBT,11724
44,YEAH,11397
45,EY,10862
46,MACHT,10786
47,BLEIB,10727
48,GLAUB,10539
49,SCHOEN,10254
50,LANG,9995
51,AH,9909
52,MUSS,9701
53,NEIN,9537
54,WEIT,9390
55,YOU,9221
56,SAGT,9213
57,EINFACH,8630
58,AUG,8547
59,HEY,8486
60,MANN,8362
61,STEH,8252
62,BITT,8147
63,KLEIN,8133
64,WAER,7961
65,BRAUCH,7810
66,FRAG,7341
67,EGAL,7313
68,DENK,7256
69,ERST,7068
70,JUNG,6993
71,FRAU,6972
72,EINMAL,6909
73,GIB,6898
74,WEISST,6843
75,NEU,6759
76,KOPF,6749
77,HALT,6627
78,THE,6581
79,HOER,6538
80,GROSS,6532
81,VORBEI,6447
82,VOLL,6395
83,UEB,6380
84,BLEIBT,6311
85,MORG,6060
86,HAUS,6028
87,FUEHL,5884
88,RAUS,5820
89,SOLL,5797
90,GERN,5635
91,FLIEG,5570
92,JAHR,5569
93,GEB,5553
94,FAHR,5534
95,ZURUECK,5503
96,STADT,5453
97,FREUND,5378
98,ZWEI,5348
99,LOS,5319
100,SONN,5215
101,UH,5131
102,HOL,5123
103,SCHEISS,5113
104,SELB,5105
105,TRAEUM,5104
106,SIEH,5092
107,HAND,5045
108,KENN,4980
109,UNT,4938
110,GELD,4934
111,HIMMEL,4874
112,WOLL,4870
113,TUT,4842
114,FREI,4818
115,EN,4787
116,WOLLT,4760
117,GEIL,4736
118,BISSCH,4721
119,LICHT,4676
120,ZIEH,4649
121,HOCH,4638
122,VERGESS,4580
123,LEID,4569
124,LETZT,4564
125,NIEMAL,4528
126,KIND,4493
127,VIELLEICHT,4480
128,ALT,4479
129,WUERD,4474
130,TANZ,4421
131,KLAR,4418
132,GAR,4395
133,RED,4395
134,BEID,4373
135,NEHM,4329
136,HER,4309
137,GLUECK,4302
138,LIED,4300
139,SPIEL,4276
140,MY,4230
141,END,4190
142,BESS,4171
143,STRASS,4100
144,VERSTEH,4096
145,TO,4053
146,GRAD,4041
147,STERN,4027
148,SCHLAF,4019
149,VERLI,4000
150,WEIN,3988
151,SCHNELL,3987
152,SCHWER,3985
153,ZUSAMM,3967
154,BEST,3943
155,MAMA,3882
156,SCHAU,3870
157,KRIEG,3843
158,MUSST,3828
159,GUCK,3824
160,DABEI,3801
161,GOTT,3788
162,FIND,3783
163,NAM,3776
164,MANCHMAL,3759
165,WIRKLICH,3740
166,GENAU,3716
167,MENSCH,3698
168,WACH,3693
169,LOV,3673
170,OFT,3645
171,SPAET,3644
172,REIN,3623
173,IT,3591
174,STEHT,3577
175,KOENNT,3570
176,FALL,3564
177,GEFUEHL,3545
178,MAEDCH,3515
179,ROLL,3470
180,FICK,3462
181,SING,3428
182,LAUF,3423
183,BITCH,3400
184,PAAR,3368
185,ENDLICH,3324
186,TIEF,3318
187,ME,3291
188,TRAG,3287
189,Â,3277
190,PASSIERT,3263
191,BRING,3255
192,DING,3245
193,TUN,3236
194,SCHREIB,3235
195,NIMM,3232
196,DREH,3224
197,NO,3215
198,SEHR,3206
199,IRGENDWANN,3205
200,SCHWARZ,3194
201,SPUER,3188
202,KAM,3180
203,GOLD,3165
204,TEIL,3164
205,EWIG,3161
206,ZEIG,3151
207,HATT,3144
208,HINT,3128
209,MAG,3124
210,ON,3124
211,OBEN,3114
212,SITZ,3114
213,BLICK,3113
214,ALSO,3105
215,HEISS,3084
216,GING,3076
217,DI,3066
218,HIN,3014
219,GESICHT,3004
220,ZUR,2986
221,VERLOR,2982
222,SEI,2972
223,ANGST,2951
224,LEUT,2937
225,MA,2932
226,WISS,2930
227,DRAUF,2924
228,TUER,2920
229,ARM,2901
230,BRUD,2877
231,WEH,2872
232,HAETT,2841
233,LIEGT,2804
234,DAFU,2801
235,GEHST,2794
236,TRAEN,2791
237,BENZ,2785
238,ECHT,2783
239,SONST,2766
240,BA,2747
241,LAESST,2741
242,SAGST,2734
243,WUND,2733
244,SIEHT,2708
245,NE,2697
246,HAELT,2678
247,TAUSEND,2677
248,TRAUM,2674
249,DEUTSCH,2672
250,SUCH,2665
251,OKAY,2649
252,RICHTIG,2639
253,NUN,2635
254,KALT,2629
255,SCHICK,2610
256,LEICHT,2609
257,DREI,2608
258,LACH,2601
259,FEST,2599
260,KOENN,2579
261,BOOM,2569
262,LIEG,2555
263,SCHLECHT,2550
264,HIGH,2549
265,LAND,2539
266,HA,2539
267,RE,2533
268,NIX,2532
269,BERLIN,2531
270,KAUF,2522
271,LEER,2515
272,HOFF,2497
273,FAELLT,2493
274,LACHT,2479
275,BRA,2479
276,FRUEH,2467
277,ARSCH,2463
278,HEISST,2459
279,FEHL,2446
280,STILL,2442
281,LAENG,2441
282,BRRM,2438
283,WOLK,2428
284,DREHT,2428
285,UHR,2394
286,BILD,2386
287,WIND,2382
288,GIRL,2381
289,FEU,2378
290,REFRAIN,2374
291,SINN,2356
292,BRENNT,2340
293,ROT,2334
294,HAUT,2328
295,BLAU,2322
296,MILLION,2317
297,BRINGT,2316
298,RUF,2316
299,SAH,2315
300,HART,2294
301,DAVON,2293
302,BETT,2275
303,BALD,2272
304,GEMACHT,2261
305,SOMM,2259
306,SCHEINT,2245
307,BEAT,2239
308,WURD,2234
309,DAMAL,2232
310,EH,2232
311,PERFEKT,2228
312,LE,2224
313,GANG,2217
314,ABEND,2215
315,GENUG,2194
316,REG,2189
317,FAST,2184
318,SCHREI,2171
319,STIMM,2163
320,ERD,2158
321,WUENSCH,2157
322,HOERT,2148
323,BAB,2146
324,WAHR,2146
325,STUND,2142
326,DON,2142
327,VERLIEBT,2141
328,MOMENT,2130
329,VERMISS,2111
330,MEER,2105
331,TU,2097
332,VERDAMMT,2095
333,WE,2089
334,BAU,2079
335,ZWISCH,2079
336,PARTY,2069
337,LAEUFT,2055
338,BAM,2045
339,SEHN,2010
340,LEBT,2009
341,WASS,2009
342,GEST,2008
343,ZWEIT,2005
344,RAUCH,2005
345,IRGENDWO,2004
346,HAENG,1999
347,DE,1993
348,GESAGT,1989
349,MUESS,1983
350,GESEH,1970
351,TRINK,1968
352,ST,1966
353,ERZAEHL,1963
354,DORT,1958
355,STARK,1958
356,EUR,1946
357,LANGSAM,1938
358,ZIEL,1935
359,WOHL,1924
360,DICK,1919
361,RAPP,1904
362,LIEBT,1899
363,PACK,1899
364,FRAGT,1897
365,SPASS,1894
366,KURZ,1889
367,JE,1878
368,FOR,1878
369,SCHEIN,1862
370,VIER,1860
371,ENGEL,1855
372,WELL,1850
373,LEIS,1838
374,SACH,1835
375,DAM,1833
376,BALL,1833
377,HASS,1832
378,DARAN,1828
379,SCHENK,1825
380,KENNT,1819
381,LUFT,1802
382,VERRUECKT,1801
383,NOCHMAL,1800
384,HAAR,1796
385,DARF,1793
386,GEHN,1784
387,BRAUCHT,1783
388,OF,1780
389,DRAUSS,1777
390,SCHAFF,1771
391,DRUECK,1766
392,SEEL,1765
393,YOUR,1763
394,DO,1761
395,FEHLT,1760
396,MANCH,1758
397,KOMMEDI,1757
398,CLUB,1753
399,STERB,1751
400,FANG,1750
401,EIGENT,1742
402,GRUND,1739
403,TANZT,1738
404,SORG,1738
405,SCHMERZ,1729
406,REICH,1725
407,HALB,1724
408,STEIG,1723
409,ZEHN,1715
410,RAP,1705
411,HALLO,1703
412,BE,1685
413,STAR,1683
414,NIGHT,1677
415,BLING,1673
416,STAND,1672
417,NUMM,1669
418,HELL,1668
419,PLATZ,1662
420,RECHT,1659
421,KUESS,1658
422,HAEND,1653
423,BIER,1637
424,OHH,1637
425,GLUECKLICH,1629
426,BEREIT,1614
427,GEFAELLT,1613
428,MAENN,1608
429,SIEB,1606
430,BLOSS,1603
431,GLAS,1602
432,SEX,1593
433,AUGENBLICK,1589
434,HO,1577
435,MOECHT,1577
436,NAECHT,1566
437,STELL,1565
438,HOLZ,1563
439,RUM,1557
440,GEG,1552
441,MUSIK,1549
442,GEDACHT,1546
443,AHA,1545
444,NER,1542
445,AU,1542
446,TEAM,1537
447,SCHULD,1535
448,ZAEHL,1534
449,ZAHL,1530
450,TYP,1528
451,BAD,1526
452,MI,1512
453,UEBERALL,1512
454,SUP,1510
455,EINSAM,1506
456,SONG,1506
457,SUESS,1505
