,LAENGE_LAENGSTES_WORT
0,12
1,12
2,12
3,12
4,12
5,12
6,12
7,12
8,12
9,12
10,12
11,21
12,21
13,21
14,21
15,21
16,21
17,21
18,21
19,21
20,21
21,21
22,10
23,9
24,9
25,9
26,9
27,9
28,9
29,14
30,14
31,14
32,14
33,14
34,14
35,14
36,14
37,14
38,14
39,14
40,14
41,14
42,14
43,14
44,14
45,14
46,14
47,14
48,14
49,14
50,14
51,14
52,14
53,14
54,14
55,14
56,12
57,13
58,13
59,13
60,13
61,13
62,13
63,13
64,16
65,10
66,10
67,10
68,10
69,10
70,10
71,10
72,10
73,10
74,10
75,10
76,10
77,10
78,10
79,10
80,10
81,10
82,10
83,10
84,10
85,10
86,14
87,10
88,10
89,10
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,15
107,15
108,15
109,15
110,9
111,9
112,9
113,9
114,9
115,9
116,9
117,9
118,9
119,18
120,11
121,11
122,11
123,11
124,11
125,11
126,11
127,11
128,11
129,11
130,11
131,11
132,11
133,11
134,11
135,12
136,12
137,12
138,10
139,10
140,10
141,10
142,10
143,10
144,10
145,10
146,10
147,10
148,10
149,10
150,10
151,10
152,10
153,10
154,10
155,10
156,10
157,10
158,10
159,10
160,10
161,10
162,10
163,10
164,10
165,10
166,10
167,12
168,12
169,12
170,12
171,12
172,10
173,10
174,10
175,10
176,10
177,15
178,15
179,15
180,15
181,15
182,11
183,11
184,11
185,11
186,10
187,9
188,9
189,9
190,17
191,17
192,17
193,17
194,17
195,17
196,17
197,17
198,17
199,17
200,17
201,17
202,17
203,17
204,17
205,17
206,17
207,8
208,8
209,8
210,14
211,14
212,15
213,15
214,15
215,15
216,15
217,15
218,15
219,15
220,15
221,15
222,13
223,16
224,16
225,16
226,16
227,14
228,14
229,14
230,14
231,14
232,14
233,14
234,14
235,14
236,14
237,11
238,11
239,11
240,11
241,11
242,11
243,11
244,11
245,11
246,11
247,11
248,11
249,11
250,13
251,13
252,13
253,13
254,13
255,13
256,13
257,13
258,13
259,13
260,13
261,13
262,13
263,13
264,13
265,14
266,14
267,14
268,14
269,14
270,14
271,14
272,14
273,14
274,14
275,14
276,14
277,14
278,14
279,10
280,10
281,10
282,10
283,10
284,10
285,10
286,10
287,10
288,10
289,10
290,10
291,10
292,18
293,18
294,18
295,18
296,18
297,18
298,18
299,18
300,11
301,11
302,11
303,11
304,11
305,11
306,11
307,11
308,11
309,11
310,11
311,11
312,11
313,17
314,17
315,17
316,17
317,17
318,17
319,17
320,17
321,17
322,17
323,12
324,12
325,12
326,12
327,12
328,12
329,12
330,12
331,12
332,12
333,12
334,12
335,12
336,12
337,12
338,17
339,17
340,17
341,17
342,12
343,10
344,15
345,15
346,12
347,12
348,12
349,12
350,12
351,12
352,12
353,12
354,12
355,12
356,12
357,12
358,9
359,9
360,9
361,9
362,9
363,9
364,11
365,10
366,10
367,10
368,10
369,10
370,10
371,10
372,10
373,10
374,10
375,19
376,19
377,10
378,10
379,10
380,10
381,10
382,10
383,10
384,10
385,12
386,12
387,12
388,12
389,12
390,12
391,12
392,12
393,12
394,19
395,19
396,19
397,10
398,10
399,10
400,10
401,10
402,10
403,10
404,10
405,10
406,10
407,10
408,10
409,10
410,10
411,10
412,10
413,10
414,10
415,10
416,10
417,10
418,10
419,10
420,10
421,10
422,10
423,10
424,10
425,10
426,10
427,10
428,10
429,10
430,10
431,9
432,9
433,9
434,9
435,9
436,9
437,13
438,13
439,13
440,13
441,13
442,13
443,13
444,39
445,39
446,39
447,39
448,39
449,39
450,39
451,39
452,39
453,39
454,39
455,39
456,39
457,39
458,39
459,9
460,9
461,9
462,9
463,9
464,9
465,9
466,9
467,9
468,9
469,12
470,11
471,11
472,11
473,10
474,10
475,10
476,11
477,11
478,11
479,11
480,11
481,11
482,11
483,11
484,11
485,11
486,11
487,11
488,11
489,11
490,11
491,11
492,11
493,11
494,19
495,19
496,19
497,19
498,19
499,19
500,19
501,19
502,19
503,19
504,19
505,19
506,10
507,10
508,10
509,10
510,10
511,10
512,10
513,10
514,10
515,10
516,11
517,8
518,11
519,11
520,11
521,11
522,11
523,11
524,11
525,11
526,11
527,11
528,11
529,11
530,11
531,11
532,11
533,11
534,11
535,11
536,11
537,11
538,11
539,11
540,11
541,11
542,11
543,11
544,11
545,13
546,13
547,13
548,13
549,13
550,13
551,13
552,13
553,12
554,12
555,14
556,14
557,14
558,14
559,19
560,19
561,19
562,19
563,19
564,19
565,19
566,19
567,19
568,19
569,19
570,19
571,19
572,19
573,19
574,19
575,19
576,19
577,19
578,19
579,19
580,19
581,19
582,19
583,19
584,19
585,19
586,19
587,19
588,19
589,19
590,19
591,19
592,19
593,19
594,19
595,19
596,14
597,14
598,14
599,10
600,10
601,11
602,11
603,11
604,11
605,11
606,11
607,11
608,11
609,11
610,11
611,11
612,11
613,11
614,11
615,11
616,11
617,11
618,11
619,11
620,11
621,11
622,11
623,18
624,18
625,18
626,18
627,18
628,18
629,18
630,18
631,18
632,18
633,18
634,18
635,12
636,9
637,12
638,12
639,12
640,12
641,13
642,13
643,13
644,10
645,17
646,18
647,10
648,12
649,12
650,14
651,11
652,12
653,12
654,12
655,12
656,12
657,12
658,12
659,11
660,16
661,18
662,18
663,18
664,18
665,18
666,18
667,18
668,18
669,18
670,18
671,13
672,13
673,13
674,13
675,13
676,15
677,13
678,12
679,12
680,14
681,14
682,14
683,14
684,12
685,12
686,16
687,16
688,16
689,13
690,12
691,12
692,12
693,12
694,14
695,15
696,15
697,21
698,13
699,13
700,13
701,11
702,11
703,15
704,14
705,24
706,24
707,24
708,12
709,14
710,14
711,14
712,12
713,12
714,12
715,12
716,12
717,12
718,12
719,12
720,12
721,12
722,12
723,14
724,16
725,16
726,16
727,18
728,18
729,12
730,12
731,12
732,12
733,11
734,11
735,11
736,11
737,11
738,11
739,11
740,11
741,11
742,18
743,13
744,12
745,13
746,11
747,13
748,13
749,13
750,13
751,13
752,13
753,13
754,13
755,13
756,13
757,13
758,13
759,13
760,13
761,13
762,13
763,13
764,13
765,13
766,15
767,13
768,13
769,11
770,16
771,12
772,7
773,14
774,14
775,13
776,13
777,12
778,12
779,11
780,11
781,11
782,11
783,11
784,11
785,11
786,11
787,11
788,11
789,12
790,16
791,15
792,14
793,14
794,13
795,13
796,13
797,17
798,17
799,17
800,17
801,17
802,17
803,17
804,17
805,11
806,11
807,11
808,11
809,15
810,14
811,13
812,13
813,13
814,12
815,12
816,18
817,18
818,18
819,11
820,11
821,11
822,11
823,11
824,11
825,11
826,11
827,11
828,12
829,21
830,11
831,20
832,20
833,16
834,18
835,18
836,18
837,18
838,17
839,17
840,17
841,17
842,17
843,13
844,11
845,11
846,11
847,11
848,11
849,11
850,11
851,11
852,11
853,11
854,11
855,11
856,11
857,11
858,11
859,11
860,11
861,11
862,11
863,12
864,18
865,16
866,16
867,14
868,16
869,13
870,20
871,15
872,10
873,10
874,14
875,11
876,13
877,13
878,11
879,11
880,11
881,11
882,11
883,11
884,11
885,11
886,11
887,11
888,11
889,11
890,11
891,11
892,11
893,11
894,11
895,11
896,11
897,15
898,12
899,11
900,11
901,9
902,9
903,9
904,9
905,9
906,9
907,9
908,15
909,11
910,11
911,11
912,11
913,13
914,17
915,17
916,17
917,17
918,17
919,17
920,17
921,17
922,15
923,12
924,12
925,12
926,12
927,12
928,12
929,12
930,11
931,13
932,13
933,15
934,14
935,13
936,12
937,12
938,12
939,12
940,12
941,12
942,12
943,12
944,12
945,12
946,12
947,12
948,12
949,12
950,12
951,12
952,12
953,12
954,12
955,12
956,12
957,12
958,15
959,15
960,15
961,11
962,11
963,12
964,12
965,12
966,14
967,14
968,14
969,17
970,17
971,17
972,17
973,17
974,14
975,14
976,14
977,14
978,14
979,14
980,14
981,14
982,14
