LIED_ID,POSITION,DATUM_VON,DATUM_BIS
26024,26,1983-04-18,1983-04-24
1073,46,1984-06-04,1984-06-10
1131,33,1984-06-18,1984-06-24
15819,22,1984-08-13,1984-08-19
7324,6,1984-08-27,1984-09-02
7334,40,1984-10-08,1984-10-14
15822,50,1984-10-15,1984-10-21
7923,43,1984-10-22,1984-10-28
10822,33,1984-11-26,1984-12-02
78253,46,1984-11-26,1984-12-02
15822,49,1984-11-26,1984-12-02
17514,37,1984-12-03,1984-12-09
14165,25,1985-02-11,1985-02-17
1219,5,1985-02-25,1985-03-03
161002,46,1985-02-25,1985-03-03
1230,6,1985-03-04,1985-03-10
14165,26,1985-03-04,1985-03-10
9800,27,1985-03-25,1985-03-31
7343,19,1985-04-29,1985-05-05
1274,22,1985-07-15,1985-07-21
17517,24,1985-07-15,1985-07-21
9222,29,1985-07-22,1985-07-28
14164,17,1985-08-19,1985-08-25
1378,6,1985-10-28,1985-11-03
1313,12,1985-11-18,1985-11-24
7325,19,1985-11-18,1985-11-24
7325,15,1985-12-02,1985-12-08
158935,30,1986-01-06,1986-01-12
1395,11,1986-01-20,1986-01-26
1365,1,1986-02-10,1986-02-16
9810,49,1986-03-03,1986-03-09
1365,2,1986-03-10,1986-03-16
1423,10,1986-03-24,1986-03-30
1395,28,1986-04-14,1986-04-20
8704,39,1986-04-21,1986-04-27
1444,11,1986-05-19,1986-05-25
8704,26,1986-06-09,1986-06-15
15374,39,1986-07-07,1986-07-13
8322,22,1983-05-02,1983-05-08
8322,31,1983-05-16,1983-05-22
57235,42,1983-05-16,1983-05-22
26024,42,1983-05-23,1983-05-29
7261,2,1983-05-30,1983-06-05
962,26,1983-06-13,1983-06-19
7338,22,1983-06-20,1983-06-26
7332,5,1983-06-27,1983-07-03
966,16,1983-07-11,1983-07-17
966,8,1983-07-18,1983-07-24
14168,36,1983-08-15,1983-08-21
8572,38,1983-09-05,1983-09-11
15807,45,1983-09-05,1983-09-11
1013,37,1983-09-26,1983-10-02
37905,46,1983-10-10,1983-10-16
115226,49,1983-10-10,1983-10-16
98879,34,1983-11-14,1983-11-20
7353,41,1983-11-14,1983-11-20
1010,46,1983-11-21,1983-11-27
9285,41,1983-12-12,1983-12-18
1014,25,1984-01-02,1984-01-08
7336,44,1984-02-13,1984-02-19
1043,3,1984-02-20,1984-02-26
1073,12,1984-02-27,1984-03-04
1034,22,1984-03-05,1984-03-11
1074,15,1984-03-19,1984-03-25
8600,27,1984-03-26,1984-04-01
1100,42,1984-04-02,1984-04-08
8321,30,1984-04-09,1984-04-15
1074,25,1984-04-23,1984-04-29
1100,12,1984-04-30,1984-05-06
8321,21,1984-04-30,1984-05-06
1100,17,1984-05-14,1984-05-20
17502,25,1981-03-23,1981-03-29
11933,29,1981-03-30,1981-04-05
7358,39,1981-04-27,1981-05-03
8667,47,1981-05-11,1981-05-17
53557,38,1981-06-01,1981-06-07
753,24,1981-06-15,1981-06-21
753,18,1981-06-22,1981-06-28
17507,45,1981-06-29,1981-07-05
