Wordlist sampler,,,,,,,,,,,,,,,,,,,,,,
"The last 100 items from each thousand up to 100,000 words.",,,,,,,,,,,,,,,,,,,,,,
corpus used: German Web 2013 (deTenTen13) preloaded/detenten13_rft3,,,,,,,,,,,,,,,,,,,,,,
specifications: word list of word forms | case sensitive | no additonal filtering applied | no manual validation,,,,,,,,,,,,,,,,,,,,,,
source: www.lexicalcomputing.com,,,,,,,,,,,,,,,,,,,,,,
position,position,position,position,position,position,position,position,position,position,position,position,position,position,position,position,position,position,position,position,position,position,position
901-1000,1901-2000,2901-3000,3901-4000,4901-5000,5901-6000,6901-7000,7901-8000,8901-9000,9901-10000,14901-15000,19901-20000,24901-25000,29901-30000,34901-35000,39901-40000,44901-45000,49901-50000,59901-60000,69901-70000,79901-80000,89901-90000,99901-100000
Wenn die,sowie ein,in welchem,Aber nicht,und ihnen,sie dem,Basis von,Personen und,führen und,hatte schon,der Menge,die speziell,der Sender,entsteht durch,aber gleich,Hier stehen,ans Ende,Erinnerungen und,Sowohl im,die maximal,der Blitz,Dafür sorgen,Marktplatz für
in diesen,möchten wir,die Gesellschaft,für seinen,die Verwaltung,der FDP,einem eigenen,erworben werden,Erweiterung der,gewesen ist,einem Teil,warum wir,auch ab,eine Kamera,Wert für,unseren Seiten,Die Auflösung,Danke auch,Sie bleiben,die Mauern,das Erlebte,Berliner und,Jahr besonders
wollen wir,die Suche,der Klasse,entwickelte sich,seine Frau,im Detail,Wer also,verhindert werden,hoch ist,gespannt sein,der Menschenrechte,war zum,eine fast,befreit werden,Ihr Name,speziell die,Antworten und,welchem Grund,Auskunft darüber,die Inbetriebnahme,aufweist und,Ausübung von,Führen eines
sollten Sie,so kann,doch ein,in Leipzig,dem Kopf,sein werden,oft die,gleich zwei,einem ganz,fast ausschließlich,das Telefon,den Bäumen,ebenso zu,Teams und,oder wo,rund eine,und übernehmen,viele Gedanken,über Deutschland,die Anweisungen,auf alte,Aufmerksamkeit von,Fragen wurden
Von der,den großen,wenn diese,noch kein,möglich zu,zu lange,habe in,neue Wege,vor Jahren,fand im,haben werden,Vor einem,Licht zu,Mischung von,klar die,nur per,und warte,jedoch kaum,wesentlich höher,des Dialogs,am Bein,Anklicken des,Elementen der
es schon,haben es,gemacht haben,auf meine,Einsatz der,die Marke,und manchmal,nicht daran,z. b.,es sinnvoll,der inneren,uns wichtig,wenn auf,jungen Leuten,für Schulen,ist kurz,und Beine,im Briefkasten,waren seine,der Gipfel,Systeme in,Angebote werden,Der Hauptgrund
von ihm,haben in,dabei ist,Menschen die,werden hier,mehr Geld,Konzept der,ich sehe,und hoffen,Schon seit,am Vormittag,ziehen sich,sind etwas,jetzigen Zeitpunkt,ein absolut,ich zuerst,trennten sich,höher der,und Präsentation,der Einheimischen,Projekten im,Aber sonst,Bitte die
und wurde,Das kann,am vergangenen,die Gesundheit,die Rechte,Beispiel in,der ganze,sehr auf,gibt ein,Spaß am,Die gute,im Tal,immer schneller,es aufgrund,die Züge,doch gut,sichtbar sind,ergänzt die,sondern darüber,damit seinen,Neuauflage der,zum Vergrößern,Bereits Ende
